boostclock,brand,chipmake,coreclock,gpu,memoryclock,memoryinterface,memorysize,memorytype,model,price,productname,rank,rating,url
,,,,,,,,,,698.97,EVGA GeForce GTX 1060 Graphic Card - 1.6GHz Core - 1.84GHz Boost Clock - 3 GB,381,Rating + 4,https://www.newegg.com/p/1FT-001K-002J3
,,,,,,,,,,119.97,FOR Dell ATI Radeon X600 128MB DDR SDRAM PCI Express x16 Video Card CD453 H9142,379,Rating + 4,https://www.newegg.com/p/27N-003U-00041
,,,,,,,,,,809.90,"ASRock Radeon RX 6800 Phantom Gaming D Gaming Graphics Card with 16GB GDDR6, AMD RDNA 2 (RX6800 PGD 16GO)",375,Rating + 4,https://www.newegg.com/asrock-radeon-rx-6800-rx6800-pgd-16go/p/N82E16814930048
,,,,,,,,,,"2,352.79",ZOTAC NVIDIA GeForce RTX 2080 Twin Fan 8GB GDDR6 HDMI/3DisplayPort/USB Type-C,383,Rating + 4,https://www.newegg.com/zotac-nvidia-geforce-rtx-2080/p/1FT-000M-002E8
,,,,,,,,,,63.00,Asus GTS450 1 GB GDDR5 PCI-Express Video Card ENGTS450 DIRECTCU/DI/1GD5,378,Rating + 5,https://www.newegg.com/p/36F-00FH-000E7
,,,,,,,,,,63.00,86mm FD7010H12S 4Pin Dual Cooler Fan For Sapphire R9 270X 280X HD7870 HD7950 HD7850 HD6850 Graphics Card Cooling,377,Rating + 5,https://www.newegg.com/p/0ZK-08UH-07J29
,,,,,,,,,,119.97,HP INC. - NSB OPTIONS Z9H51AA NVIDIA GEFORCE GT 730 DP 2GB,380,Rating + 4,https://www.newegg.com/p/0YH-00CP-004Z9
,,,,,,,,,,809.90,"EVGA 06G-P4-2066-KR GeForce RTX 2060 KO Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",376,Rating + 4,https://www.newegg.com/p/2YM-0028-00028
,,,,,,,,,,79.99,"Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI), 100411P8GOCL",374,Rating + 4,https://www.newegg.com/sapphire-radeon-rx-580-100411p8gocl/p/N82E16814202278
,,,,,,,,,,79.99,"GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card, 3 x WINDFORCE Fans, 11GB 352-Bit GDDR6, GV-N208TGAMING OC-11GC Video Card",373,Rating + 4,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tgaming-oc-11gc/p/N82E16814932064
